agreement_id,host_country_code,agreement_type,partner_entity,status,date_signed,reference_link
AGR-IDN-KOR-001,IDN,Article 6.2 Cooperative Approach (MoU),South Korea (MOTIE),MoU Signed,2024-06-06,https://www.motie.go.kr
AGR-IDN-PV-001,IDN,Mutual Recognition Agreement,Plan Vivo,Signed,2024-09-15,https://www.planvivo.org
AGR-IDN-GCC-001,IDN,Mutual Recognition Agreement,Global Carbon Council,Signed,2024-09-15,https://www.globalcarboncouncil.com
AGR-IDN-JCM-001,IDN,JCM MRA – credit equivalence (SPE-GRK ↔ JCM),Japan (JCM),Active,2024-10-15,https://www.jcm.go.jp
